IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
162.159.57.148,4,4,0.00,160.25,0.00,N/A
104.31.16.157,4,4,0.00,160.60,0.00,N/A
104.17.200.86,4,4,0.00,161.10,0.00,N/A
104.17.106.183,4,4,0.00,161.19,0.00,N/A
104.17.120.138,4,4,0.00,161.40,0.00,N/A
104.17.21.240,4,4,0.00,161.40,0.00,N/A
104.17.169.170,4,4,0.00,161.95,0.00,N/A
172.65.198.193,4,4,0.00,161.95,0.00,N/A
104.17.151.215,4,4,0.00,162.24,0.00,N/A
104.18.188.20,4,4,0.00,162.85,0.00,N/A
162.159.11.52,4,4,0.00,162.91,0.00,N/A
104.17.119.3,4,4,0.00,163.07,0.00,N/A
104.17.129.105,4,4,0.00,163.35,0.00,N/A
104.18.187.183,4,4,0.00,163.38,0.00,N/A
172.65.203.212,4,4,0.00,163.40,0.00,N/A
104.16.12.142,4,4,0.00,163.42,0.00,N/A
104.18.40.162,4,4,0.00,163.95,0.00,N/A
104.16.244.226,4,4,0.00,164.01,0.00,N/A
162.159.40.73,4,4,0.00,164.04,0.00,N/A
162.159.250.102,4,4,0.00,164.11,0.00,N/A
104.16.0.196,4,4,0.00,164.40,0.00,N/A
172.64.66.67,4,4,0.00,164.47,0.00,N/A
104.18.150.1,4,4,0.00,164.91,0.00,N/A
162.159.20.62,4,4,0.00,165.10,0.00,N/A
104.17.26.1,4,4,0.00,165.20,0.00,N/A
198.41.197.119,4,4,0.00,165.20,0.00,N/A
104.18.74.50,4,4,0.00,187.95,0.00,N/A
104.17.213.174,4,4,0.00,165.38,0.00,N/A
162.159.212.61,4,4,0.00,165.39,0.00,N/A
104.17.27.203,4,4,0.00,165.56,0.00,N/A
104.19.205.236,4,4,0.00,165.66,0.00,N/A
198.41.194.4,4,4,0.00,166.42,0.00,N/A
162.159.19.252,4,4,0.00,166.64,0.00,N/A
172.64.48.238,4,4,0.00,166.67,0.00,N/A
172.64.231.147,4,4,0.00,166.70,0.00,N/A
104.16.156.232,4,4,0.00,166.95,0.00,N/A
162.159.194.40,4,4,0.00,167.12,0.00,N/A
104.18.181.101,4,4,0.00,167.36,0.00,N/A
141.101.114.132,4,4,0.00,167.64,0.00,N/A
198.41.207.45,4,4,0.00,167.67,0.00,N/A
104.17.211.68,4,4,0.00,167.68,0.00,N/A
172.64.52.193,4,4,0.00,167.72,0.00,N/A
172.64.82.196,4,4,0.00,167.81,0.00,N/A
198.41.206.31,4,4,0.00,168.38,0.00,N/A
